"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-17",,,"0.14","0.0","0.0",,"60","47",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-18",,,"0.11","0.0","0.0",,"56","42",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-19",,,"0.00","0.0","0.0",,"63","44",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-20",,,"0.26","0.0","0.0",,"59","52",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-21",,,"0.38","0.0","0.0",,"57","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-22",,,"0.00","0.0","0.0",,"75","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-23",,,"0.73","0.0","0.0",,"57","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-24",,,"0.01","0.0","0.0",,"58","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-25",,,"0.14","0.0","0.0",,"55","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-26",,,"0.00","0.0","0.0",,"59","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-27",,,"0.08","0.0","0.0",,"53","47",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-28",,,"0.55","0.0","0.0",,"61","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-29",,,"0.00","0.0","0.0",,"79","56",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-30",,,"0.05","0.0","0.0",,"75","58",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-31",,,"0.00","0.0","0.0",,"76","58",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-01",,,"0.03","0.0","0.0",,"77","56",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-02",,,"0.00","0.0","0.0",,"70","58",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-03",,,"0.00","0.0","0.0",,"64","57",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-04",,,"0.56","0.0","0.0",,"81","57",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-05",,,"0.00","0.0","0.0",,"77","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-06",,,"0.00","0.0","0.0",,"76","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-07",,,"0.00","0.0","0.0",,"74","61",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-08",,,"0.00","0.0","0.0",,"76","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-09",,,"0.00","0.0","0.0",,"88","64",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-10",,,"0.00","0.0","0.0",,"87","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-11",,,"0.00","0.0","0.0",,"91","69",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-12",,,"0.04","0.0","0.0",,"85","69",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-13",,,"0.50","0.0","0.0",,"76","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-14",,,"0.00","0.0","0.0",,"81","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-15",,,"0.00","0.0","0.0",,"78","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-16",,,"0.14","0.0","0.0",,"69","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-17",,,"0.00","0.0","0.0",,"68","55",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-18",,,"0.01","0.0","0.0",,"64","57",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-19",,,"0.00","0.0","0.0",,"70","59",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-20",,,"0.00","0.0","0.0",,"79","61",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-21",,,"0.48","0.0","0.0",,"73","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-22",,,"0.76","0.0","0.0",,"74","64",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-23",,,"0.00","0.0","0.0",,"69","61",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-24",,,"0.00","0.0","0.0",,"69","59",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-25",,,"0.00","0.0","0.0",,"74","59",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-26",,,"0.00","0.0","0.0",,"72","60",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-27",,,"0.07","0.0","0.0",,"72","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-28",,,"0.43","0.0","0.0",,"80","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-29",,,"1.74","0.0","0.0",,"81","73",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-06-30",,,"0.49","0.0","0.0",,"82","72",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-01",,,"0.00","0.0","0.0",,"83","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-02",,,"0.00","0.0","0.0",,"86","73",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-03",,,"0.00","0.0","0.0",,"78","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-04",,,"0.00","0.0","0.0",,"81","69",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-05",,,"0.54","0.0","0.0",,"81","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-06",,,"0.00","0.0","0.0",,"85","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-07",,,"0.00","0.0","0.0",,"83","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-08",,,"0.00","0.0","0.0",,"89","73",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-09",,,"0.00","0.0","0.0",,"91","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-10",,,"0.00","0.0","0.0",,"87","73",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-11",,,"0.21","0.0","0.0",,"80","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-12",,,"0.00","0.0","0.0",,"75","58",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-13",,,"0.00","0.0","0.0",,"78","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-14",,,"0.00","0.0","0.0",,"90","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-15",,,"1.11","0.0","0.0",,"75","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-16",,,"0.00","0.0","0.0",,"80","61",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-17",,,"0.00","0.0","0.0",,"81","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-18",,,"0.00","0.0","0.0",,"83","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-19",,,"0.00","0.0","0.0",,"81","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-20",,,"0.07","0.0","0.0",,"77","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-21",,,"0.55","0.0","0.0",,"74","64",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-22",,,"0.00","0.0","0.0",,"79","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-23",,,"0.00","0.0","0.0",,"84","63",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-24",,,"0.00","0.0","0.0",,"83","62",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-25",,,"0.00","0.0","0.0",,"83","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-26",,,"0.16","0.0","0.0",,"76","68",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-27",,,"0.00","0.0","0.0",,"79","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-28",,,"0.00","0.0","0.0",,"83","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-29",,,"0.00","0.0","0.0",,"86","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-30",,,"0.00","0.0","0.0",,"83","68",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-07-31",,,"0.00","0.0","0.0",,"80","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-01",,,"0.00","0.0","0.0",,"78","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-02",,,"0.12","0.0","0.0",,"77","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-03",,,"0.02","0.0","0.0",,"83","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-04",,,"0.00","0.0","0.0",,"87","73",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-05",,,"0.00","0.0","0.0",,"88","69",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-06",,,"0.00","0.0","0.0",,"85","65",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-07",,,"0.00","0.0","0.0",,"86","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-08",,,"0.00","0.0","0.0",,"87","68",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-09",,,"0.00","0.0","0.0",,"85","72",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-10",,,"0.00","0.0","0.0",,"85","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-11",,,"0.24","0.0","0.0",,"81","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-12",,,"0.00","0.0","0.0",,"89","70",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-13",,,"0.00","0.0","0.0",,"87","71",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-14",,,"0.00","0.0","0.0",,"82","64",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-15",,,"0.24","0.0","0.0",,"79","67",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-16",,,"0.00","0.0","0.0",,"76","66",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-08-17",,,"0.00","0.0","0.0",,"77","66",,
